case,n,polynomial_bound,polynomial_seconds,polynomial_bound_up4,polynomial_top3,corrected_bound,corrected_seconds,corrected_bound_up4,corrected_top3,speed_ratio
variable_l1,33,0.07732020354357419,34.40687379997689,0.0774,0.07732020354357419,0.07818472564417193,20.258875499945134,0.0782,0.07818472564417193,1.698360493901553
anisotropic_l2,33,0.03995470031054313,63.23176949995104,0.0400,0.06819863391068412,0.03966996826648197,35.12697779992595,0.0397,0.039951000202094494,1.8000913673844248
curved_l2,33,0.0428221363300063,62.98676770005841,0.0429,0.0494839872899779,0.04183200924072186,58.784164900076576,0.0419,0.04954036353850326,1.0714920898702154
holdout_a,33,0.0401711098828698,34.11093610001262,0.0402,0.0401711098828698,0.04038157572082684,25.333401100011542,0.0404,0.04038157572082684,1.3464807179008065
holdout_b,33,0.045712676898406746,45.16822240001056,0.0458,0.04620256768548346,0.053279032922938986,31.621877999976277,0.0533,0.0542530788328959,1.4283851958458775
holdout_c,33,0.036244901523215384,49.84419530001469,0.0363,0.04089188388494948,0.03632765928991603,34.3799748000456,0.0364,0.03691227507871867,1.4498031365615944
holdout_d,33,0.04510516077216829,63.368779100012034,0.0452,0.04766062984571049,0.04548504779355047,33.56645749998279,0.0455,0.04548504779355047,1.8878601979385083
