frequency,n,inputs,corrected_smaller_than_uncorrected,corrected_smaller_than_polynomial,median_bound_ratio,median_time_ratio
1,256,4,4,0,0.486142145471107,2.798689429017089
1,1024,4,4,2,0.18647746129173903,1.9501617701639378
2,256,4,1,0,1.1537854292882788,2.545888538445096
2,1024,4,4,0,0.4255489474686027,2.159645994192954
4,256,4,0,0,2.0483731813413346,2.619963574488632
4,1024,4,3,0,0.6974276075160052,1.9901762480806633
