case,n,method,repetition,status,bound,corrected_patches,total_seconds
frequency_4_asym_0.15_ripple_0,256,adaptive_polynomial,0,certified,0.11636750779414853,0,0.06472239992581308
frequency_4_asym_0.15_ripple_0,256,adaptive_hybrid,0,certified,0.11636750779414853,1,0.17154919996391982
frequency_4_asym_0.15_ripple_0,1024,global_polynomial,0,certified,0.01734321675578727,0,0.5861743000568822
frequency_4_asym_0.15_ripple_0,1024,adaptive_polynomial,0,certified,0.0211519455544006,0,0.19248710002284497
frequency_4_asym_0.15_ripple_0,1024,adaptive_hybrid,0,certified,0.0211519455544006,0,0.23315809993073344
frequency_4_asym_0.15_ripple_0.12,256,global_polynomial,0,certified,0.2977256203564853,0,0.17003460007254034
frequency_4_asym_0.15_ripple_0.12,256,adaptive_polynomial,0,certified,0.29771712544268997,0,0.07451509998645633
frequency_4_asym_0.15_ripple_0.12,256,adaptive_hybrid,0,certified,0.2606989375787647,3,0.2895402000285685
frequency_4_asym_0.15_ripple_0.12,1024,global_polynomial,0,certified,0.06409358468297169,0,0.5990112000145018
frequency_4_asym_0.15_ripple_0.12,1024,adaptive_polynomial,0,certified,0.0713744187371852,0,0.19883769995067269
frequency_4_asym_0.15_ripple_0.12,1024,adaptive_hybrid,0,certified,0.0713744187371852,0,0.27178720000665635
frequency_4_asym_0.35_ripple_0,256,global_polynomial,0,certified,0.08139274253226321,0,0.1714464999968186
frequency_4_asym_0.35_ripple_0,256,adaptive_polynomial,0,certified,0.12289042753431131,0,0.06073119991924614
frequency_4_asym_0.35_ripple_0,256,adaptive_hybrid,0,certified,0.12289042753431131,0,0.1292708000401035
frequency_4_asym_0.35_ripple_0,1024,global_polynomial,0,certified,0.019722069776149383,0,0.5870957999723032
frequency_4_asym_0.35_ripple_0,1024,adaptive_polynomial,0,certified,0.019733543040788015,0,0.17813510005362332
frequency_4_asym_0.35_ripple_0,1024,adaptive_hybrid,0,certified,0.019733543040788015,0,0.21325880009680986
frequency_4_asym_0.35_ripple_0.12,256,global_polynomial,0,certified,0.5527124667351384,0,0.16412299999501556
frequency_4_asym_0.35_ripple_0.12,256,adaptive_polynomial,0,certified,0.46147227202788205,0,0.061219100025482476
frequency_4_asym_0.35_ripple_0.12,256,adaptive_hybrid,0,certified,0.46147227202788205,0,0.10155569994822145
frequency_4_asym_0.35_ripple_0.12,1024,global_polynomial,0,certified,0.0580637527868522,0,0.5840814999537542
frequency_4_asym_0.35_ripple_0.12,1024,adaptive_polynomial,0,certified,0.06363460737178421,0,0.18469839997123927
frequency_4_asym_0.35_ripple_0.12,1024,adaptive_hybrid,0,certified,0.06363460737178421,0,0.34811540006194264
frequency_1_asym_0.15_ripple_0,256,adaptive_polynomial,1,certified,0.013883746489675058,0,0.050135200028307736
frequency_1_asym_0.15_ripple_0,256,adaptive_hybrid,1,certified,0.013883746489675058,0,0.08515739999711514
frequency_1_asym_0.15_ripple_0,256,global_polynomial,1,certified,0.013883746489675058,0,0.1565407000016421
frequency_1_asym_0.15_ripple_0,1024,adaptive_polynomial,1,certified,0.0034976210885652296,0,0.1678039999678731
frequency_1_asym_0.15_ripple_0,1024,adaptive_hybrid,1,certified,0.0034976210885652296,0,0.1743066000053659
frequency_1_asym_0.15_ripple_0,1024,global_polynomial,1,certified,0.0034906210959294937,0,0.5647301999852061
frequency_1_asym_0.15_ripple_0.12,256,adaptive_polynomial,1,certified,0.052755687115212536,0,0.04798660008236766
frequency_1_asym_0.15_ripple_0.12,256,adaptive_hybrid,1,certified,0.052755687115212536,0,0.09384919994045049
frequency_1_asym_0.15_ripple_0.12,256,global_polynomial,1,certified,0.04147583050166205,0,0.15838809998240322
frequency_1_asym_0.15_ripple_0.12,1024,adaptive_polynomial,1,certified,0.005633044596914989,0,0.16288690001238137
frequency_1_asym_0.15_ripple_0.12,1024,adaptive_hybrid,1,certified,0.005633044596914989,0,0.1761037000687793
frequency_1_asym_0.15_ripple_0.12,1024,global_polynomial,1,certified,0.005623977875370472,0,0.579794800025411
frequency_1_asym_0.35_ripple_0,256,adaptive_polynomial,1,certified,0.019245805052795446,0,0.04732390004210174
frequency_1_asym_0.35_ripple_0,256,adaptive_hybrid,1,certified,0.019245805052795446,0,0.08134989999234676
frequency_1_asym_0.35_ripple_0,256,global_polynomial,1,certified,0.015648250014015264,0,0.15643739991355687
frequency_1_asym_0.35_ripple_0,1024,adaptive_polynomial,1,certified,0.0043334802297220545,0,0.1599180999910459
frequency_1_asym_0.35_ripple_0,1024,adaptive_hybrid,1,certified,0.0043334802297220545,0,0.17949739994946867
frequency_1_asym_0.35_ripple_0,1024,global_polynomial,1,certified,0.0043140231659851164,0,0.5554216000018641
frequency_1_asym_0.35_ripple_0.12,256,adaptive_polynomial,1,certified,0.06341911511906125,0,0.04705289995763451
frequency_1_asym_0.35_ripple_0.12,256,adaptive_hybrid,1,certified,0.06341911511906125,0,0.09228480001911521
frequency_1_asym_0.35_ripple_0.12,256,global_polynomial,1,certified,0.04372825045012295,0,0.15852759999688715
frequency_1_asym_0.35_ripple_0.12,1024,adaptive_polynomial,1,certified,0.006811298687293423,0,0.17081059992779046
frequency_1_asym_0.35_ripple_0.12,1024,adaptive_hybrid,1,certified,0.006811298687293423,0,0.17769550008233637
frequency_1_asym_0.35_ripple_0.12,1024,global_polynomial,1,certified,0.0064589152079574655,0,0.57444419991225
frequency_2_asym_0.15_ripple_0,256,adaptive_polynomial,1,certified,0.04371650906391803,0,0.05073220003396273
frequency_2_asym_0.15_ripple_0,256,adaptive_hybrid,1,certified,0.04371650906391803,0,0.1212701000040397
frequency_2_asym_0.15_ripple_0,256,global_polynomial,1,certified,0.0359071508507972,0,0.15364979999139905
frequency_2_asym_0.15_ripple_0,1024,adaptive_polynomial,1,certified,0.008805264994859258,0,0.17054339998867363
frequency_2_asym_0.15_ripple_0,1024,adaptive_hybrid,1,certified,0.008805264994859258,0,0.190110299969092
frequency_2_asym_0.15_ripple_0,1024,global_polynomial,1,certified,0.008788894538141462,0,0.5778233000310138
frequency_2_asym_0.15_ripple_0.12,256,adaptive_polynomial,1,certified,0.19449845927631618,0,0.05205779999960214
frequency_2_asym_0.15_ripple_0.12,256,adaptive_hybrid,1,certified,0.15576182758921236,2,0.19549879990518093
frequency_2_asym_0.15_ripple_0.12,256,global_polynomial,1,certified,0.12976249068352771,0,0.16041060001589358
frequency_2_asym_0.15_ripple_0.12,1024,adaptive_polynomial,1,certified,0.015581006397986727,0,0.18028059997595847
frequency_2_asym_0.15_ripple_0.12,1024,adaptive_hybrid,1,certified,0.015581006397986727,0,0.268881700001657
frequency_2_asym_0.15_ripple_0.12,1024,global_polynomial,1,certified,0.01569787091495917,0,0.5868099998915568
frequency_2_asym_0.35_ripple_0,256,adaptive_polynomial,1,certified,0.03996971727827383,0,0.05245640000794083
frequency_2_asym_0.35_ripple_0,256,adaptive_hybrid,1,certified,0.03996971727827383,0,0.06961909995879978
frequency_2_asym_0.35_ripple_0,256,global_polynomial,1,certified,0.03949718624641143,0,0.1620330000296235
frequency_2_asym_0.35_ripple_0,1024,adaptive_polynomial,1,certified,0.009757623203688363,0,0.17337829992175102
frequency_2_asym_0.35_ripple_0,1024,adaptive_hybrid,1,certified,0.009757623203688363,0,0.19394650007598102
frequency_2_asym_0.35_ripple_0,1024,global_polynomial,1,certified,0.009738619790509325,0,0.5886489999247715
frequency_2_asym_0.35_ripple_0.12,256,adaptive_polynomial,1,certified,0.1917208501769577,0,0.05321609997190535
frequency_2_asym_0.35_ripple_0.12,256,adaptive_hybrid,1,certified,0.2060119347612609,1,0.14193869999144226
frequency_2_asym_0.35_ripple_0.12,256,global_polynomial,1,certified,0.17944509869032804,0,0.15267020009923726
frequency_2_asym_0.35_ripple_0.12,1024,adaptive_polynomial,1,certified,0.014961977540575133,0,0.17088359990157187
frequency_2_asym_0.35_ripple_0.12,1024,adaptive_hybrid,1,certified,0.014961977540575133,0,0.3024452000390738
frequency_2_asym_0.35_ripple_0.12,1024,global_polynomial,1,certified,0.014961977540575133,0,0.5890211999649182
frequency_4_asym_0.15_ripple_0,256,adaptive_polynomial,1,certified,0.11636750779414853,0,0.06501820008270442
frequency_4_asym_0.15_ripple_0,256,adaptive_hybrid,1,certified,0.11636750779414853,1,0.17150189995300025
frequency_4_asym_0.15_ripple_0,256,global_polynomial,1,certified,0.10308382267433439,0,0.16206110001076013
frequency_4_asym_0.15_ripple_0,1024,adaptive_polynomial,1,certified,0.0211519455544006,0,0.18762530002277344
frequency_4_asym_0.15_ripple_0,1024,adaptive_hybrid,1,certified,0.0211519455544006,0,0.23074350005481392
frequency_4_asym_0.15_ripple_0,1024,global_polynomial,1,certified,0.01734321675578727,0,0.5750737999333069
frequency_4_asym_0.15_ripple_0.12,256,adaptive_polynomial,1,certified,0.29771712544268997,0,0.07523580000270158
frequency_4_asym_0.15_ripple_0.12,256,adaptive_hybrid,1,certified,0.2606989375787647,3,0.2983176000416279
frequency_4_asym_0.15_ripple_0.12,256,global_polynomial,1,certified,0.2977256203564853,0,0.16770570003427565
frequency_4_asym_0.15_ripple_0.12,1024,adaptive_polynomial,1,certified,0.0713744187371852,0,0.20660540007520467
frequency_4_asym_0.15_ripple_0.12,1024,adaptive_hybrid,1,certified,0.0713744187371852,0,0.2722531999461353
frequency_4_asym_0.15_ripple_0.12,1024,global_polynomial,1,certified,0.06409358468297169,0,0.6042785999597982
frequency_4_asym_0.35_ripple_0,256,adaptive_polynomial,1,certified,0.12289042753431131,0,0.0613823999883607
frequency_4_asym_0.35_ripple_0,256,adaptive_hybrid,1,certified,0.12289042753431131,0,0.12978710001334548
frequency_4_asym_0.35_ripple_0,256,global_polynomial,1,certified,0.08139274253226321,0,0.1706313999602571
frequency_4_asym_0.35_ripple_0,1024,adaptive_polynomial,1,certified,0.019733543040788015,0,0.17822640005033463
frequency_4_asym_0.35_ripple_0,1024,adaptive_hybrid,1,certified,0.019733543040788015,0,0.2089774999767542
frequency_4_asym_0.35_ripple_0,1024,global_polynomial,1,certified,0.019722069776149383,0,0.5990339999552816
frequency_4_asym_0.35_ripple_0.12,256,adaptive_polynomial,1,certified,0.46147227202788205,0,0.06159030005801469
frequency_4_asym_0.35_ripple_0.12,256,adaptive_hybrid,1,certified,0.46147227202788205,0,0.10151749989017844
frequency_4_asym_0.35_ripple_0.12,256,global_polynomial,1,certified,0.5527124667351384,0,0.1633868000935763
frequency_4_asym_0.35_ripple_0.12,1024,adaptive_polynomial,1,certified,0.06363460737178421,0,0.17947990004904568
frequency_4_asym_0.35_ripple_0.12,1024,adaptive_hybrid,1,certified,0.06363460737178421,0,0.35696809994988143
frequency_4_asym_0.35_ripple_0.12,1024,global_polynomial,1,certified,0.0580637527868522,0,0.5855536999879405
frequency_1_asym_0.15_ripple_0,256,adaptive_hybrid,2,certified,0.013883746489675058,0,0.08585490006953478
frequency_1_asym_0.15_ripple_0,256,global_polynomial,2,certified,0.013883746489675058,0,0.17372839991003275
frequency_1_asym_0.15_ripple_0,256,adaptive_polynomial,2,certified,0.013883746489675058,0,0.05019029998220503
frequency_1_asym_0.15_ripple_0,1024,adaptive_hybrid,2,certified,0.0034976210885652296,0,0.17511730000842363
frequency_1_asym_0.15_ripple_0,1024,global_polynomial,2,certified,0.0034906210959294937,0,0.5626179999671876
frequency_1_asym_0.15_ripple_0,1024,adaptive_polynomial,2,certified,0.0034976210885652296,0,0.17032220005057752
frequency_1_asym_0.15_ripple_0.12,256,adaptive_hybrid,2,certified,0.052755687115212536,0,0.08902840001974255
frequency_1_asym_0.15_ripple_0.12,256,global_polynomial,2,certified,0.04147583050166205,0,0.158663299982436
frequency_1_asym_0.15_ripple_0.12,256,adaptive_polynomial,2,certified,0.052755687115212536,0,0.047721499926410615
frequency_1_asym_0.15_ripple_0.12,1024,adaptive_hybrid,2,certified,0.005633044596914989,0,0.1782528000185266
frequency_1_asym_0.15_ripple_0.12,1024,global_polynomial,2,certified,0.005623977875370472,0,0.5787025999743491
frequency_1_asym_0.15_ripple_0.12,1024,adaptive_polynomial,2,certified,0.005633044596914989,0,0.1634439000627026
frequency_1_asym_0.35_ripple_0,256,adaptive_hybrid,2,certified,0.019245805052795446,0,0.08180399995762855
frequency_1_asym_0.35_ripple_0,256,global_polynomial,2,certified,0.015648250014015264,0,0.15833240002393723
frequency_1_asym_0.35_ripple_0,256,adaptive_polynomial,2,certified,0.019245805052795446,0,0.0468983999453485
frequency_1_asym_0.35_ripple_0,1024,adaptive_hybrid,2,certified,0.0043334802297220545,0,0.19319929997436702
