n,method,epsilon_exponent,residual_upper,distance_upper,error_upper,reference_lower,reference_upper,effectivity_upper,certified_candidates,fitting_and_search_seconds
32,direct,,0.18891964166000075,0.00980945409330488,0.19872909575330563,0.09206166889362066,0.09206240445473668,2.1586518921674296,1,0.9392792999860831
32,uncorrected,8,0.16111384165121387,0.01144481063005316,0.17255865228126702,0.09206166889362066,0.09206240445473668,1.8743811007886728,8,31.594298199925106
32,corrected,5,0.17146734719709478,0.009828694014155804,0.18129604121125056,0.09206166889362066,0.09206240445473668,1.9692891014255047,7,45.38296689989511
64,direct,,0.09420346636987816,0.004039934501445559,0.09824340087132372,0.04527856369713845,0.045279063056113955,2.16975524065779,1,1.7797518999432214
64,uncorrected,9,0.07934134441490345,0.005693187325225763,0.0850345317401292,0.04527856369713845,0.045279063056113955,1.8780306793500008,8,56.94018279988086
64,corrected,5,0.0776982150173624,0.00456037342598536,0.08225858844334777,0.04527856369713845,0.045279063056113955,1.8167225664127329,8,105.16775060008513
