case,n,method,scope,rank,epsilon,width,degree,status,residual_upper,distance_upper,bound_upper,bound_lower,cutoff,seconds,reason
skew_strong,256,uncorrected,wide,17,"[3, 128]",,,above_target,,,,0.1348003637767401,"[27473416655753778922589000223, 316912650057057350374175801344]",0.026642999961040914,
skew_strong,256,uncorrected,wide,18,"[25, 1024]",,,above_target,,,,0.1407176883361232,"[27473416655753778922589000223, 316912650057057350374175801344]",0.026703699957579374,
skew_strong,256,uncorrected,wide,19,"[13, 512]",,,above_target,,,,0.14662117463003932,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02663470001425594,
skew_strong,256,uncorrected,wide,20,"[3, 512]",,,above_target,,,,0.17790048456094276,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02260759996715933,
skew_strong,256,uncorrected,wide,21,"[27, 1024]",,,above_target,,,,0.15251055877032202,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02678150008432567,
skew_strong,256,uncorrected,wide,22,"[7, 256]",,,above_target,,,,0.15838557517311955,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02664940000977367,
skew_strong,256,uncorrected,wide,23,"[29, 1024]",,,above_target,,,,0.16424595716356793,"[27473416655753778922589000223, 316912650057057350374175801344]",0.026590900029987097,
skew_strong,256,uncorrected,wide,24,"[15, 512]",,,above_target,,,,0.17009359452925313,"[27473416655753778922589000223, 316912650057057350374175801344]",0.026719499961473048,
skew_strong,256,uncorrected,wide,25,"[31, 1024]",,,above_target,,,,0.17593391359960348,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02720390004105866,
skew_strong,256,uncorrected,wide,26,"[1, 32]",,,above_target,,,,0.18178422158284113,"[27473416655753778922589000223, 316912650057057350374175801344]",0.027151099988259375,
skew_strong,256,uncorrected,wide,27,"[33, 1024]",,,above_target,,,,0.18762073031014617,"[27473416655753778922589000223, 316912650057057350374175801344]",0.027227799990214407,
skew_strong,256,uncorrected,wide,28,"[17, 512]",,,above_target,,,,0.19344318260066706,"[27473416655753778922589000223, 316912650057057350374175801344]",0.027338200015947223,
skew_strong,256,uncorrected,wide,29,"[35, 1024]",,,above_target,,,,0.19925132029363055,"[27473416655753778922589000223, 316912650057057350374175801344]",0.027349899988621473,
skew_strong,256,uncorrected,wide,30,"[9, 256]",,,above_target,,,,0.20504488410763494,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02740349993109703,
skew_strong,256,uncorrected,wide,31,"[37, 1024]",,,above_target,,,,0.21082361314538586,"[27473416655753778922589000223, 316912650057057350374175801344]",0.027683199965395033,
skew_strong,256,uncorrected,wide,32,"[19, 512]",,,above_target,,,,0.21658724536723462,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02760959998704493,
skew_strong,256,uncorrected,wide,33,"[39, 1024]",,,above_target,,,,0.22233632513042179,"[27473416655753778922589000223, 316912650057057350374175801344]",0.027999499929137528,
skew_strong,256,uncorrected,wide,34,"[5, 128]",,,above_target,,,,0.2280778811023407,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028151100035756826,
skew_strong,256,uncorrected,wide,35,"[41, 1024]",,,above_target,,,,0.23380402052563992,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02823049994185567,
skew_strong,256,uncorrected,wide,36,"[21, 512]",,,above_target,,,,0.239531666097937,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028000399935990572,
skew_strong,256,uncorrected,wide,37,"[43, 1024]",,,above_target,,,,0.24525967185869188,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028521299944259226,
skew_strong,256,uncorrected,wide,38,"[11, 256]",,,above_target,,,,0.25097296521235274,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02786139992531389,
skew_strong,256,uncorrected,wide,39,"[45, 1024]",,,above_target,,,,0.25667129216169693,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02799019997473806,
skew_strong,256,uncorrected,wide,40,"[23, 512]",,,above_target,,,,0.26235439744701167,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028300600009970367,
skew_strong,256,uncorrected,wide,41,"[47, 1024]",,,above_target,,,,0.2680220245508872,"[27473416655753778922589000223, 316912650057057350374175801344]",0.028053099988028407,
