case,target,method,repetition,status,n,bound,total_seconds
frequency_2_asym_0.15_ripple_0.12,1/25,adaptive_polynomial,0,target_certified,1024,0.015581006397986727,0.29482460010331124
frequency_2_asym_0.15_ripple_0.12,1/25,adaptive_hybrid,0,target_certified,1024,0.015581006397986727,0.4449581999797374
frequency_2_asym_0.15_ripple_0.12,1/50,global_polynomial,0,target_certified,1024,0.01569787091495917,0.42758699995465577
frequency_2_asym_0.15_ripple_0.12,1/50,adaptive_polynomial,0,target_certified,1024,0.015581006397986727,0.28967550001107156
frequency_2_asym_0.15_ripple_0.12,1/50,adaptive_hybrid,0,target_certified,1024,0.015581006397986727,0.3818406999344006
frequency_2_asym_0.15_ripple_0.12,1/100,global_polynomial,0,target_certified,2048,0.0066723174773866065,0.8368413000134751
frequency_2_asym_0.15_ripple_0.12,1/100,adaptive_polynomial,0,target_certified,2048,0.006677659457593314,0.5894846000010148
frequency_2_asym_0.15_ripple_0.12,1/100,adaptive_hybrid,0,target_certified,2048,0.006677659457593314,0.6063434000825509
frequency_2_asym_0.35_ripple_0,1/25,global_polynomial,0,target_certified,256,0.03970443532139187,0.10216629994101822
frequency_2_asym_0.35_ripple_0,1/25,adaptive_polynomial,0,target_certified,256,0.03996971727827383,0.06809419998899102
frequency_2_asym_0.35_ripple_0,1/25,adaptive_hybrid,0,target_certified,256,0.03996971727827383,0.08608769997954369
frequency_2_asym_0.35_ripple_0,1/50,global_polynomial,0,target_certified,1024,0.009738619790509325,0.6065926000010222
frequency_2_asym_0.35_ripple_0,1/50,adaptive_polynomial,0,target_certified,1024,0.009757623203688363,0.31975969998165965
frequency_2_asym_0.35_ripple_0,1/50,adaptive_hybrid,0,target_certified,1024,0.009757623203688363,0.35594949999358505
frequency_2_asym_0.35_ripple_0,1/100,global_polynomial,0,target_certified,1024,0.009738619790509325,0.40927260008174926
frequency_2_asym_0.35_ripple_0,1/100,adaptive_polynomial,0,target_certified,1024,0.009757623203688363,0.2884823000058532
frequency_2_asym_0.35_ripple_0,1/100,adaptive_hybrid,0,target_certified,1024,0.009757623203688363,0.3140117001021281
frequency_2_asym_0.35_ripple_0.12,1/25,global_polynomial,0,target_certified,1024,0.014961977540575133,0.4266150000039488
frequency_2_asym_0.35_ripple_0.12,1/25,adaptive_polynomial,0,target_certified,1024,0.014961977540575133,0.29196860000956804
frequency_2_asym_0.35_ripple_0.12,1/25,adaptive_hybrid,0,target_certified,1024,0.014961977540575133,0.4572356999851763
frequency_2_asym_0.35_ripple_0.12,1/50,global_polynomial,0,target_certified,1024,0.014961977540575133,0.4118651000317186
frequency_2_asym_0.35_ripple_0.12,1/50,adaptive_polynomial,0,target_certified,1024,0.014961977540575133,0.2861304000252858
frequency_2_asym_0.35_ripple_0.12,1/50,adaptive_hybrid,0,target_certified,1024,0.014961977540575133,0.42354930005967617
frequency_2_asym_0.35_ripple_0.12,1/100,global_polynomial,0,target_certified,2048,0.00745564855271992,0.8334432999836281
frequency_2_asym_0.35_ripple_0.12,1/100,adaptive_polynomial,0,target_certified,2048,0.0074546781833178056,0.5866783999372274
frequency_2_asym_0.35_ripple_0.12,1/100,adaptive_hybrid,0,target_certified,2048,0.0074546781833178056,0.6231979000149295
frequency_4_asym_0.15_ripple_0,1/25,global_polynomial,0,target_certified,1024,0.01734321675578727,0.4260140999685973
frequency_4_asym_0.15_ripple_0,1/25,adaptive_polynomial,0,target_certified,1024,0.0211519455544006,0.34091620007529855
frequency_4_asym_0.15_ripple_0,1/25,adaptive_hybrid,0,target_certified,1024,0.0211519455544006,0.4911774001084268
frequency_4_asym_0.15_ripple_0,1/50,global_polynomial,0,target_certified,1024,0.01734321675578727,0.43164040008559823
frequency_4_asym_0.15_ripple_0,1/50,adaptive_polynomial,0,target_certified,2048,0.008636140708446266,0.634791599935852
frequency_4_asym_0.15_ripple_0,1/50,adaptive_hybrid,0,target_certified,2048,0.008636140708446266,0.7051619999110699
frequency_4_asym_0.15_ripple_0,1/100,global_polynomial,0,target_certified,2048,0.008635871635950908,0.8440285000251606
frequency_4_asym_0.15_ripple_0,1/100,adaptive_polynomial,0,target_certified,2048,0.008636140708446266,0.5812387999612838
frequency_4_asym_0.15_ripple_0,1/100,adaptive_hybrid,0,target_certified,2048,0.008636140708446266,0.6466169999912381
frequency_4_asym_0.15_ripple_0.12,1/25,global_polynomial,0,target_certified,2048,0.013214555301640249,0.8427935999352485
frequency_4_asym_0.15_ripple_0.12,1/25,adaptive_polynomial,0,target_certified,2048,0.017858374846029673,0.5831102000083774
frequency_4_asym_0.15_ripple_0.12,1/25,adaptive_hybrid,0,target_certified,2048,0.017858374846029673,0.7883716999785975
frequency_4_asym_0.15_ripple_0.12,1/50,global_polynomial,0,target_certified,2048,0.013214555301640249,0.8369662999175489
frequency_4_asym_0.15_ripple_0.12,1/50,adaptive_polynomial,0,target_certified,2048,0.017858374846029673,0.5728305999655277
frequency_4_asym_0.15_ripple_0.12,1/50,adaptive_hybrid,0,target_certified,2048,0.017858374846029673,0.7316891000373289
frequency_4_asym_0.15_ripple_0.12,1/100,global_polynomial,0,target_certified,4096,0.006533507472094505,1.6994189000688493
frequency_4_asym_0.15_ripple_0.12,1/100,adaptive_polynomial,0,target_certified,4096,0.006536707379910671,1.2114729000022635
frequency_4_asym_0.15_ripple_0.12,1/100,adaptive_hybrid,0,target_certified,4096,0.006536707379910671,1.260741800069809
frequency_4_asym_0.35_ripple_0,1/25,global_polynomial,0,target_certified,1024,0.019722069776149383,0.4249178000027314
frequency_4_asym_0.35_ripple_0,1/25,adaptive_polynomial,0,target_certified,1024,0.019733543040788015,0.32148980000056326
frequency_4_asym_0.35_ripple_0,1/25,adaptive_hybrid,0,target_certified,1024,0.019733543040788015,0.4302826999919489
frequency_4_asym_0.35_ripple_0,1/50,global_polynomial,0,target_certified,1024,0.019722069776149383,0.41429089999292046
frequency_4_asym_0.35_ripple_0,1/50,adaptive_polynomial,0,target_certified,1024,0.019733543040788015,0.27829650009516627
frequency_4_asym_0.35_ripple_0,1/50,adaptive_hybrid,0,target_certified,1024,0.019733543040788015,0.3151611000066623
frequency_4_asym_0.35_ripple_0,1/100,global_polynomial,0,target_certified,2048,0.009809344289593349,0.8348714000312611
frequency_4_asym_0.35_ripple_0,1/100,adaptive_polynomial,0,target_certified,2048,0.009823690709999765,0.5847418999765068
frequency_4_asym_0.35_ripple_0,1/100,adaptive_hybrid,0,target_certified,2048,0.009823690709999765,0.6225348999723792
frequency_4_asym_0.35_ripple_0.12,1/25,global_polynomial,0,target_certified,2048,0.015482138646757761,0.8377754999091849
frequency_4_asym_0.35_ripple_0.12,1/25,adaptive_polynomial,0,target_certified,2048,0.01423329127456982,0.6057625999674201
frequency_4_asym_0.35_ripple_0.12,1/25,adaptive_hybrid,0,target_certified,2048,0.01423329127456982,0.8817847999744117
frequency_4_asym_0.35_ripple_0.12,1/50,global_polynomial,0,target_certified,2048,0.015482138646757761,0.8336107999784872
frequency_4_asym_0.35_ripple_0.12,1/50,adaptive_polynomial,0,target_certified,2048,0.01423329127456982,0.5788970000576228
frequency_4_asym_0.35_ripple_0.12,1/50,adaptive_hybrid,0,target_certified,2048,0.01423329127456982,0.7148729000473395
frequency_4_asym_0.35_ripple_0.12,1/100,global_polynomial,0,target_certified,4096,0.007100304999865914,1.6665434000315145
frequency_4_asym_0.35_ripple_0.12,1/100,adaptive_polynomial,0,target_certified,4096,0.007100456529082992,1.1783883000025526
frequency_4_asym_0.35_ripple_0.12,1/100,adaptive_hybrid,0,target_certified,4096,0.007100456529082992,1.2277409000089392
frequency_1_asym_0.15_ripple_0,1/25,adaptive_polynomial,1,target_certified,128,0.03370941055525283,0.0343836999963969
frequency_1_asym_0.15_ripple_0,1/25,adaptive_hybrid,1,target_certified,128,0.03370941055525283,0.06767130002845079
frequency_1_asym_0.15_ripple_0,1/25,global_polynomial,1,target_certified,128,0.02795858115409506,0.049791399971581995
frequency_1_asym_0.15_ripple_0,1/50,adaptive_polynomial,1,target_certified,256,0.013883746489675058,0.07699209998827428
frequency_1_asym_0.15_ripple_0,1/50,adaptive_hybrid,1,target_certified,256,0.013883746489675058,0.10633819992654026
frequency_1_asym_0.15_ripple_0,1/50,global_polynomial,1,target_certified,256,0.013883746489675058,0.10078390000853688
frequency_1_asym_0.15_ripple_0,1/100,adaptive_polynomial,1,target_certified,512,0.006916476524850242,0.13847650005482137
frequency_1_asym_0.15_ripple_0,1/100,adaptive_hybrid,1,target_certified,512,0.006916476524850242,0.14898159995209426
frequency_1_asym_0.15_ripple_0,1/100,global_polynomial,1,target_certified,512,0.00688394735805259,0.20044270006474108
frequency_1_asym_0.15_ripple_0.12,1/25,adaptive_polynomial,1,target_certified,512,0.01798785994223551,0.15974539995659143
frequency_1_asym_0.15_ripple_0.12,1/25,adaptive_hybrid,1,target_certified,512,0.01798785994223551,0.24351400008890778
frequency_1_asym_0.15_ripple_0.12,1/25,global_polynomial,1,target_certified,512,0.01148498934807798,0.2387929999968037
frequency_1_asym_0.15_ripple_0.12,1/50,adaptive_polynomial,1,target_certified,512,0.01798785994223551,0.13727850001305342
frequency_1_asym_0.15_ripple_0.12,1/50,adaptive_hybrid,1,target_certified,512,0.01798785994223551,0.18655019998550415
frequency_1_asym_0.15_ripple_0.12,1/50,global_polynomial,1,target_certified,512,0.01148498934807798,0.19930029998067766
frequency_1_asym_0.15_ripple_0.12,1/100,adaptive_polynomial,1,target_certified,1024,0.005633044596914989,0.28858689998742193
frequency_1_asym_0.15_ripple_0.12,1/100,adaptive_hybrid,1,target_certified,1024,0.005633044596914989,0.30205090006347746
frequency_1_asym_0.15_ripple_0.12,1/100,global_polynomial,1,target_certified,1024,0.005623977875370472,0.4148558999877423
frequency_1_asym_0.35_ripple_0,1/25,adaptive_polynomial,1,target_certified,256,0.019245805052795446,0.07549249997828156
frequency_1_asym_0.35_ripple_0,1/25,adaptive_hybrid,1,target_certified,256,0.019245805052795446,0.14559709990862757
frequency_1_asym_0.35_ripple_0,1/25,global_polynomial,1,target_certified,128,0.03618886260494571,0.04776700004003942
