n,method,exponent,status,selected,error_lower,residual_upper,distance_upper,error_upper,geometry_seconds,norm_seconds,total_seconds,reason
32,direct,,certified,True,0.19678575282444744,0.18891964166000075,0.00980945409330488,0.19872909575330563,0.018202600011136383,0.9201317999977618,0.9387878000270575,
32,uncorrected,3,certified,False,1.1854422790859538,0.8495416074541263,0.34762764649052114,1.1971692539446475,0.06329099996946752,0.6890736999921501,0.752726899983827,
32,uncorrected,4,certified,False,0.5381837464622101,0.3664828985483477,0.17706964267820785,0.5435525412265556,0.09540550003293902,1.043429700017441,1.1391967000090517,
32,uncorrected,5,certified,False,0.19786599589180798,0.11096977081638296,0.08887252176571875,0.1998422925821017,0.1583239000174217,2.2833100999705493,2.4419828999671154,
32,uncorrected,6,certified,False,0.17832004608259813,0.1353436935977565,0.0447404166800101,0.1800841102777666,0.2406248000334017,2.6046384999644943,2.845621599990409,
32,uncorrected,7,certified,False,0.1720909199935255,0.15129533251642416,0.02251111219319982,0.17380644470962398,0.39485760004026815,4.296757900039665,4.6920003000414,
32,uncorrected,8,certified,True,0.17085087861112105,0.16111384165121387,0.01144481063005316,0.17255865228126702,0.6730816999915987,8.685985899996012,9.359427599993069,
32,uncorrected,9,certified,False,0.2720545890258858,0.2649372616880671,0.009829945387579617,0.27476720707564667,1.2443747000070289,2.8323332999716513,4.077064599958248,
32,uncorrected,10,certified,False,1.0057797856770425,1.005971420694145,0.00981894129780147,1.0157903619919466,2.386119599977974,3.8992983999778517,6.2857861000229605,
32,corrected,3,certified,False,0.5785535496003019,0.5248279739761984,0.05945851990864712,0.5842864938848455,0.12810060003539547,1.7633954000193626,1.8918555999989621,
32,corrected,4,certified,False,0.2019344489956952,0.18665507875575962,0.017296073313232456,0.2039511520689921,0.1387319000205025,5.6270990000339225,5.76626830000896,
32,corrected,5,certified,True,0.17950429833611145,0.17146734719709478,0.009828694014155804,0.18129604121125056,0.16770699998596683,6.622917799977586,6.790985899977386,
32,corrected,6,certified,False,0.19228858380452782,0.18437610532724677,0.009825747886171044,0.19420185321341782,0.24487400002544746,5.507147399999667,5.75236829998903,
32,corrected,7,certified,False,0.19564382236187258,0.18776869102057983,0.009809459082251922,0.19757815010283175,0.39146479999180883,4.842971000005491,5.2347842999733984,
32,corrected,8,certified,False,0.226748271060755,0.21917030353173317,0.009829622930955592,0.22899992646268874,0.6939979000017047,6.011402999982238,6.7057761999894865,
32,corrected,9,certified,False,0.7197575003153897,0.7168256581837152,0.00983002768067744,0.7266556858643928,2.16657280002255,11.028233299963176,13.195156699977815,
32,corrected,10,not_certified,False,,,,,,,0.045280100021045655,"[{""multiplier"": [1, 1], ""reason"": ""A required geometry quantity is negative on this rectangle.""}, {""multiplier"": [1, 2], ""reason"": ""A required geometry quantity is negative on this rectangle.""}]"
64,direct,,certified,True,0.09727350925296424,0.09420346636987816,0.004039934501445559,0.09824340087132372,0.017492700018920004,1.7600726999808103,1.777950499963481,
64,uncorrected,3,certified,False,1.2687355643335667,0.9312649433133023,0.34979248458647927,1.2810574278997817,0.06324400001903996,0.7364552000071853,0.800086300005205,
64,uncorrected,4,certified,False,0.6226579906147679,0.4509835670551257,0.1778391258981338,0.6288226929532595,0.09301080001750961,1.0886472999700345,1.182030699972529,
64,uncorrected,5,certified,False,0.27759597134896097,0.19102001913264324,0.08934670209745804,0.28036672123010126,0.15755589999025688,1.8632569999899715,2.021203299984336,
64,uncorrected,6,certified,False,0.102197545856093,0.05848696756314621,0.04473149928069922,0.10321846684384543,0.2400900999782607,3.7064277000026777,3.9469009999884292,
64,uncorrected,7,certified,False,0.08793198392592139,0.06639544743853078,0.02241553319040464,0.08881098062893543,0.3925224000122398,5.901577599986922,6.294488699990325,
64,uncorrected,8,certified,False,0.08431420273504879,0.07389311136975772,0.011263919477114123,0.08515703084687183,0.6736787999980152,10.421039999986533,11.095098699966911,
64,uncorrected,9,certified,True,0.08419327540088449,0.07934134441490345,0.005693187325225763,0.0850345317401292,1.2408538999734446,19.859144199988805,21.100429799989797,
64,uncorrected,10,certified,False,0.09472573134796448,0.0916215975444158,0.004041124847654365,0.09566272239207017,2.4284018999896944,8.069354000035673,10.498142900003586,
64,corrected,3,certified,False,0.5742945360576421,0.5203908901421899,0.05954840714057527,0.5799392972827652,0.14590090001001954,1.817264899960719,1.9635491000371985,
64,corrected,4,certified,False,0.17328753552188292,0.15829588705281059,0.016718588643920566,0.17501447569673115,0.13486949994694442,5.561043600027915,5.696293900022283,
64,corrected,5,certified,True,0.08144426734975765,0.0776982150173624,0.00456037342598536,0.08225858844334777,0.1685163999791257,20.53696920000948,20.705870100005995,
64,corrected,6,certified,False,0.09264178002871581,0.08952728306847257,0.004040656826532791,0.09356793989500536,0.24142079998273402,12.673490900022443,12.91532059997553,
64,corrected,7,certified,False,0.09609342772956211,0.09301316940342692,0.004040797494769362,0.09705396689819627,0.3942817999632098,10.92351489997236,11.31818480003858,
64,corrected,8,certified,False,0.0969762341200859,0.09390382454434232,0.004041055142833796,0.09794487968717612,0.6737848999910057,10.72751860000426,11.401725900010206,
64,corrected,9,certified,False,0.09719904865585416,0.09412894291987235,0.004040136559334994,0.09816907947920735,1.2558963999617845,15.17794630001299,16.434231300023384,
64,corrected,10,certified,False,0.2030620702015574,0.20104626281090704,0.004040429964953662,0.2050866927758607,2.42807389999507,22.302262499986682,24.73077349999221,
