n,epsilon_exponent,selected_error_upper,reference_error_lower,reference_error_upper,effectivity_upper,selected_cells,certified_candidates,selection_seconds
64,4,0.06761307684753301,0.010395038932696877,0.010400696652784766,6.5043601361473256,1432,6,0.45034670003224164
128,5,0.02049891866406455,0.0052019079393011355,0.005204341622100091,3.9406538722441393,5465,7,0.8998959999880753
256,6,0.012722435121400855,0.00260204992915337,0.002603234583568269,4.889389315269734,8807,8,1.7697093999595381
512,6,0.004337983718765254,0.0013012953331733627,0.0013019209612663979,3.333588931104954,19821,9,3.4785481999861076
1024,7,0.001326419018395456,0.0006507148071129982,0.0006510359966535858,2.038403005274045,25351,10,6.900758599978872
