case,dimension,n,kind,degree,scale,branches,residual,distance,boundary,bound,bound_up4,proposals,failed_proposals
pentagon,2,33,polynomial,3,2,5,0.042788748025915584,0.04684374288177084,0.028109333360688223,0.08963249089077384,0.0897,6,0
pentagon,2,33,corrected,3,2,5,0.040481618226403414,0.04124339189062004,0.02812872769484384,0.08172501012440242,0.0818,6,0
heptagon,2,65,polynomial,3,4,7,0.1257927511613461,0.08485206775656907,0.06760835765714789,0.2106448189179152,0.2107,6,0
heptagon,2,65,corrected,2,4,7,0.20602257383550784,0.0735201669836775,0.06023399406422741,0.2795427408628411,0.2796,6,0
coupled_3d,3,17,polynomial,3,2,6,0.0682625619133362,0.06435535721581795,0.038393580009904955,0.13261791915825796,0.1327,6,2
coupled_3d,3,17,corrected,3,2,6,0.295884409705088,0.1419034040737489,0.09923870453444748,0.4377878137788369,0.4378,6,0
