case,target,method,repetition,n,status,epsilon,width,degree,upper,lower,seconds,reason
skew,0.02,uncorrected,2,128,above_target,"[3, 128]",,,,0.1132796175692266,0.012156200013123453,
skew,0.02,uncorrected,2,128,above_target,"[1, 64]",,,,0.11745484343685518,0.011682900018058717,
skew,0.02,uncorrected,2,128,above_target,"[5, 256]",,,,0.08219175306707907,0.011823800043202937,
skew,0.02,uncorrected,2,256,above_target,"[7, 512]",,,,0.0657396324500105,0.022973000013735145,
skew,0.02,uncorrected,2,256,above_target,"[1, 64]",,,,0.07233603574194405,0.023444299993570894,
skew,0.02,uncorrected,2,256,above_target,"[9, 512]",,,,0.08254632568091852,0.023112700029741973,
skew,0.02,uncorrected,2,512,above_target,"[1, 128]",,,,0.04040219665728203,0.04477809998206794,
skew,0.02,uncorrected,2,512,above_target,"[5, 512]",,,,0.04685983883712286,0.045671299973037094,
skew,0.02,uncorrected,2,512,above_target,"[9, 1024]",,,,0.0456520188678347,0.045327600033488125,
skew,0.02,uncorrected,2,1024,above_target,"[5, 1024]",,,,0.02355554489265958,0.08479160000570118,
skew,0.02,uncorrected,2,1024,above_target,"[9, 2048]",,,,0.024765036853001614,0.08396269998047501,
skew,0.02,uncorrected,2,1024,above_target,"[11, 2048]",,,,0.02616724280605672,0.0836350999888964,
skew,0.02,uncorrected,2,2048,certified,"[5, 2048]",,,0.013427271260849756,,0.4065955000114627,
skew,0.02,corrected,0,64,above_target,"[5, 64]",,,,0.14023221520177556,0.006564499984961003,
skew,0.02,corrected,0,64,above_target,"[3, 32]",,,,0.14760427793552053,0.0065790999797172844,
skew,0.02,corrected,0,64,above_target,"[11, 128]",,,,0.1324780313080953,0.006520399998407811,
skew,0.02,corrected,0,128,above_target,"[13, 256]",,,,0.045148394022878444,0.014189900015480816,
skew,0.02,corrected,0,128,above_target,"[3, 64]",,,,0.05245552848683287,0.014087299990933388,
skew,0.02,corrected,0,128,above_target,"[7, 128]",,,,0.052302193990527816,0.014124699984677136,
skew,0.02,corrected,0,256,certified,"[1, 32]",,,0.019198562988147663,,0.05978959996718913,
skew,0.02,corrected,1,64,above_target,"[5, 64]",,,,0.14023221520177556,0.0065954000456258655,
skew,0.02,corrected,1,64,above_target,"[3, 32]",,,,0.14760427793552053,0.006653300020843744,
skew,0.02,corrected,1,64,above_target,"[11, 128]",,,,0.1324780313080953,0.006591500015929341,
skew,0.02,corrected,1,128,above_target,"[13, 256]",,,,0.045148394022878444,0.01445020001847297,
skew,0.02,corrected,1,128,above_target,"[3, 64]",,,,0.05245552848683287,0.014183700026478618,
skew,0.02,corrected,1,128,above_target,"[7, 128]",,,,0.052302193990527816,0.014273500011768192,
skew,0.02,corrected,1,256,certified,"[1, 32]",,,0.019198562988147663,,0.06047440000111237,
skew,0.02,corrected,2,64,above_target,"[5, 64]",,,,0.14023221520177556,0.006644899956882,
skew,0.02,corrected,2,64,above_target,"[3, 32]",,,,0.14760427793552053,0.006605200003832579,
skew,0.02,corrected,2,64,above_target,"[11, 128]",,,,0.1324780313080953,0.006587499985471368,
skew,0.02,corrected,2,128,above_target,"[13, 256]",,,,0.045148394022878444,0.014271199994254857,
skew,0.02,corrected,2,128,above_target,"[3, 64]",,,,0.05245552848683287,0.01401159999659285,
skew,0.02,corrected,2,128,above_target,"[7, 128]",,,,0.052302193990527816,0.01433439995162189,
skew,0.02,corrected,2,256,certified,"[1, 32]",,,0.019198562988147663,,0.059817400004249066,
skew,0.01,polynomial,0,64,above_target,,6,3,,0.06817297734510842,0.0026937000220641494,
skew,0.01,polynomial,0,64,above_target,,7,3,,0.10708043894193592,0.0025795000256039202,
skew,0.01,polynomial,0,64,above_target,,5,2,,0.08829394397341765,0.0025552999577485025,
skew,0.01,polynomial,0,128,above_target,,6,2,,0.02951705341620265,0.005112899991218001,
skew,0.01,polynomial,0,128,above_target,,7,3,,0.030092247657244414,0.005063800024800003,
skew,0.01,polynomial,0,128,above_target,,9,3,,0.03745562052860563,0.005063700024038553,
skew,0.01,polynomial,0,256,above_target,,7,2,,0.014823668820831297,0.010042799985967577,
skew,0.01,polynomial,0,256,above_target,,7,3,,0.01490042422918935,0.01003800000762567,
skew,0.01,polynomial,0,256,above_target,,9,3,,0.015128123422890265,0.01244239998050034,
skew,0.01,polynomial,0,512,certified,,15,3,0.008149053524868898,,0.07001950003905222,
skew,0.01,polynomial,1,64,above_target,,6,3,,0.06817297734510842,0.002730500011239201,
skew,0.01,polynomial,1,64,above_target,,7,3,,0.10708043894193592,0.0025816999841481447,
skew,0.01,polynomial,1,64,above_target,,5,2,,0.08829394397341765,0.002551900048274547,
skew,0.01,polynomial,1,128,above_target,,6,2,,0.02951705341620265,0.005131000012625009,
skew,0.01,polynomial,1,128,above_target,,7,3,,0.030092247657244414,0.00503599998774007,
skew,0.01,polynomial,1,128,above_target,,9,3,,0.03745562052860563,0.005390300008002669,
skew,0.01,polynomial,1,256,above_target,,7,2,,0.014823668820831297,0.010018799977842718,
skew,0.01,polynomial,1,256,above_target,,7,3,,0.01490042422918935,0.009875599993392825,
skew,0.01,polynomial,1,256,above_target,,9,3,,0.015128123422890265,0.009974599990528077,
skew,0.01,polynomial,1,512,certified,,15,3,0.008149053524868898,,0.07881259999703616,
skew,0.01,polynomial,2,64,above_target,,6,3,,0.06817297734510842,0.0027221000054851174,
skew,0.01,polynomial,2,64,above_target,,7,3,,0.10708043894193592,0.0025926000089384615,
skew,0.01,polynomial,2,64,above_target,,5,2,,0.08829394397341765,0.0025374999968335032,
skew,0.01,polynomial,2,128,above_target,,6,2,,0.02951705341620265,0.005103199975565076,
skew,0.01,polynomial,2,128,above_target,,7,3,,0.030092247657244414,0.005041700031142682,
skew,0.01,polynomial,2,128,above_target,,9,3,,0.03745562052860563,0.0050734999822452664,
skew,0.01,polynomial,2,256,above_target,,7,2,,0.014823668820831297,0.010716199991293252,
skew,0.01,polynomial,2,256,above_target,,7,3,,0.01490042422918935,0.010037300002295524,
skew,0.01,polynomial,2,256,above_target,,9,3,,0.015128123422890265,0.01004069996997714,
skew,0.01,polynomial,2,512,certified,,15,3,0.008149053524868898,,0.07022180000785738,
skew,0.01,uncorrected,0,64,above_target,"[5, 128]",,,,0.15994202026892337,0.006114899995736778,
skew,0.01,uncorrected,0,64,above_target,"[1, 32]",,,,0.20166809271162775,0.005930700048338622,
skew,0.01,uncorrected,0,64,above_target,"[3, 64]",,,,0.19861838467166437,0.0060885000275447965,
skew,0.01,uncorrected,0,128,above_target,"[3, 128]",,,,0.1132796175692266,0.012233299959916621,
skew,0.01,uncorrected,0,128,above_target,"[1, 64]",,,,0.11745484343685518,0.011729199963156134,
skew,0.01,uncorrected,0,128,above_target,"[5, 256]",,,,0.08219175306707907,0.011791099968831986,
skew,0.01,uncorrected,0,256,above_target,"[7, 512]",,,,0.0657396324500105,0.02317830000538379,
skew,0.01,uncorrected,0,256,above_target,"[1, 64]",,,,0.07233603574194405,0.023474899993743747,
skew,0.01,uncorrected,0,256,above_target,"[9, 512]",,,,0.08254632568091852,0.02331469999626279,
skew,0.01,uncorrected,0,512,above_target,"[1, 128]",,,,0.04040219665728203,0.0441757999942638,
skew,0.01,uncorrected,0,512,above_target,"[5, 512]",,,,0.04685983883712286,0.045368799997959286,
skew,0.01,uncorrected,0,512,above_target,"[9, 1024]",,,,0.0456520188678347,0.04422779998276383,
skew,0.01,uncorrected,0,1024,above_target,"[5, 1024]",,,,0.02355554489265958,0.08230100001674145,
skew,0.01,uncorrected,0,1024,above_target,"[9, 2048]",,,,0.024765036853001614,0.08191880001686513,
skew,0.01,uncorrected,0,1024,above_target,"[11, 2048]",,,,0.02616724280605672,0.08187509997515008,
skew,0.01,uncorrected,0,2048,above_target,"[5, 2048]",,,,0.013086181590973807,0.17196339997462928,
skew,0.01,uncorrected,0,2048,above_target,"[11, 4096]",,,,0.013121320964764628,0.17286349995993078,
skew,0.01,uncorrected,0,2048,above_target,"[3, 1024]",,,,0.014433473870545884,0.17246149998391047,
skew,0.01,uncorrected,0,4096,certified,"[13, 8192]",,,0.007887026279947097,,0.7925552999950014,
skew,0.01,uncorrected,1,64,above_target,"[5, 128]",,,,0.15994202026892337,0.006238200003281236,
skew,0.01,uncorrected,1,64,above_target,"[1, 32]",,,,0.20166809271162775,0.005960800044704229,
